iter	Passed	Remaining
0	9	4251
1	18	3845
2	25	3638
3	35	3708
4	45	3847
5	54	3820
6	62	3747
7	68	3610
8	79	3682
9	87	3651
10	93	3541
11	100	3482
12	108	3448
13	117	3455
14	125	3449
15	132	3416
16	140	3391
17	147	3358
18	155	3331
19	163	3329
20	169	3278
21	175	3228
22	182	3208
23	191	3209
24	198	3185
25	205	3162
26	213	3159
27	220	3144
28	227	3117
29	233	3086
30	243	3107
31	249	3085
32	257	3079
33	265	3067
34	270	3031
35	280	3042
36	288	3036
37	296	3032
38	304	3032
39	312	3025
40	322	3037
41	330	3034
42	339	3030
43	345	3005
44	354	3007
45	363	3010
46	370	2993
47	378	2991
48	387	2987
49	395	2983
50	404	2981
51	410	2961
52	418	2952
53	426	2948
54	434	2940
55	441	2922
56	449	2919
57	458	2915
58	465	2906
59	472	2888
60	481	2886
61	492	2897
62	498	2882
63	505	2867
64	513	2859
65	521	2850
66	530	2848
67	539	2846
68	545	2830
69	554	2827
70	563	2825
71	575	2837
72	584	2832
73	592	2826
74	600	2817
75	608	2812
76	617	2805
77	625	2798
78	634	2793
79	642	2786
80	650	2777
81	656	2763
82	662	2747
83	669	2735
84	678	2731
85	690	2736
86	698	2730
87	707	2726
88	716	2720
89	724	2711
90	733	2706
91	740	2697
92	748	2688
93	754	2671
94	761	2661
95	767	2645
96	775	2636
97	785	2635
98	792	2626
99	800	2616
100	809	2611
101	817	2604
102	826	2600
103	834	2592
104	841	2581
105	848	2570
106	858	2566
107	865	2555
108	874	2551
109	883	2547
110	890	2534
111	898	2527
112	906	2517
113	914	2510
114	922	2503
115	928	2489
116	934	2476
117	940	2463
118	947	2451
119	955	2443
120	963	2435
121	970	2426
122	981	2424
123	986	2410
124	995	2404
125	1002	2393
126	1006	2377
127	1013	2367
128	1021	2359
129	1027	2347
130	1033	2334
131	1040	2325
132	1050	2321
133	1056	2311
134	1066	2305
135	1075	2300
136	1082	2291
137	1088	2278
138	1095	2269
139	1104	2265
140	1112	2256
141	1118	2245
142	1127	2238
143	1133	2228
144	1142	2222
145	1148	2210
146	1156	2202
147	1162	2192
148	1170	2184
149	1180	2179
150	1188	2172
151	1196	2165
152	1204	2157
153	1212	2149
154	1219	2140
155	1228	2134
156	1235	2125
157	1243	2116
158	1250	2107
159	1257	2098
160	1267	2093
161	1275	2087
162	1282	2077
163	1289	2068
164	1297	2060
165	1304	2050
166	1314	2046
167	1321	2036
168	1327	2027
169	1333	2016
170	1341	2007
171	1351	2003
172	1358	1994
173	1365	1985
174	1375	1980
175	1383	1973
176	1392	1966
177	1400	1958
178	1406	1948
179	1415	1942
180	1423	1934
181	1432	1927
182	1441	1922
183	1448	1913
184	1456	1905
185	1465	1898
186	1472	1890
187	1480	1882
188	1488	1874
189	1495	1865
190	1502	1856
191	1511	1850
192	1520	1842
193	1528	1836
194	1534	1826
195	1542	1817
196	1548	1808
197	1557	1801
198	1567	1796
199	1577	1790
200	1583	1780
201	1592	1773
202	1601	1767
203	1610	1760
204	1616	1750
205	1624	1743
206	1631	1733
207	1640	1727
208	1648	1719
209	1656	1711
210	1663	1702
211	1671	1695
212	1680	1688
213	1687	1679
214	1696	1672
215	1702	1662
216	1710	1655
217	1721	1650
218	1728	1641
219	1735	1632
220	1743	1625
221	1750	1616
222	1756	1606
223	1768	1602
224	1777	1596
225	1785	1587
226	1792	1579
227	1801	1572
228	1809	1564
229	1817	1556
230	1824	1548
231	1832	1540
232	1843	1535
233	1852	1527
234	1860	1519
235	1867	1511
236	1874	1502
237	1884	1496
238	1892	1488
239	1899	1479
240	1907	1472
241	1918	1466
242	1925	1457
243	1933	1450
244	1940	1441
245	1946	1432
246	1954	1424
247	1965	1418
248	1972	1410
249	1979	1401
250	1987	1393
251	1994	1385
252	2003	1377
253	2012	1371
254	2021	1363
255	2028	1355
256	2037	1347
257	2049	1342
258	2059	1335
259	2067	1328
260	2076	1320
261	2085	1313
262	2096	1307
263	2104	1299
264	2110	1290
265	2118	1282
266	2125	1273
267	2134	1266
268	2140	1257
269	2150	1250
270	2158	1242
271	2166	1234
272	2176	1227
273	2183	1219
274	2191	1211
275	2200	1203
276	2207	1195
277	2217	1188
278	2222	1178
279	2231	1171
280	2238	1163
281	2247	1155
282	2256	1148
283	2264	1140
284	2271	1132
285	2280	1124
286	2287	1115
287	2296	1108
288	2305	1100
289	2313	1092
290	2323	1085
291	2330	1077
292	2340	1070
293	2348	1062
294	2355	1054
295	2363	1046
296	2370	1037
297	2378	1029
298	2385	1021
299	2392	1012
300	2402	1005
301	2410	997
302	2415	988
303	2423	980
304	2432	972
305	2440	964
306	2446	956
307	2452	947
308	2460	939
309	2468	931
310	2476	923
311	2491	918
312	2505	912
313	2516	905
314	2524	897
315	2530	888
316	2537	880
317	2546	872
318	2554	864
319	2572	860
320	2581	852
321	2590	844
322	2598	836
323	2605	828
324	2615	820
325	2620	812
326	2630	804
327	2637	796
328	2646	788
329	2654	780
330	2661	771
331	2671	764
332	2679	756
333	2687	748
334	2695	740
335	2703	732
336	2711	724
337	2720	716
338	2729	708
339	2738	700
340	2745	692
341	2752	684
342	2760	676
343	2768	667
344	2777	660
345	2785	652
346	2794	644
347	2803	636
348	2810	628
349	2818	620
350	2826	611
351	2834	603
352	2842	595
353	2850	587
354	2860	580
355	2867	571
356	2876	564
357	2884	555
358	2892	547
359	2900	539
360	2909	531
361	2917	523
362	2926	515
363	2934	507
364	2943	499
365	2957	492
366	2967	485
367	2976	477
368	2987	469
369	2995	461
370	3001	453
371	3011	445
372	3019	437
373	3025	428
374	3034	420
375	3044	412
376	3052	404
377	3060	396
378	3066	388
379	3073	380
380	3082	372
381	3091	364
382	3099	356
383	3108	348
384	3116	340
385	3129	332
386	3138	324
387	3144	316
388	3153	308
389	3158	299
390	3167	291
391	3175	283
392	3184	275
393	3193	267
394	3199	259
395	3209	251
396	3214	242
397	3221	234
398	3229	226
399	3236	218
400	3246	210
401	3254	202
402	3261	194
403	3269	186
404	3274	177
405	3284	169
406	3292	161
407	3300	153
408	3307	145
409	3313	137
410	3322	129
411	3331	121
412	3339	113
413	3355	105
414	3363	97
415	3374	89
416	3382	81
417	3390	73
418	3397	64
419	3404	56
420	3411	48
421	3419	40
422	3427	32
423	3436	24
424	3444	16
425	3453	8
426	3461	0
