iter	Passed	Remaining
0	5	1972
1	9	1812
2	13	1750
3	17	1719
4	22	1701
5	26	1714
6	31	1693
7	35	1694
8	39	1673
9	43	1656
10	47	1638
11	51	1628
12	56	1620
13	60	1608
14	64	1599
15	68	1592
16	72	1582
17	76	1574
18	80	1556
19	84	1557
20	88	1550
21	92	1543
22	97	1542
23	101	1535
24	105	1532
25	110	1532
26	113	1523
27	118	1518
28	122	1512
29	126	1505
30	130	1501
31	134	1500
32	138	1490
33	142	1486
34	147	1482
35	151	1479
36	155	1472
37	159	1471
38	163	1465
39	167	1458
40	171	1452
41	175	1449
42	179	1440
43	183	1435
44	188	1433
45	192	1430
46	196	1424
47	200	1421
48	204	1418
49	209	1414
50	213	1410
51	217	1406
52	221	1398
53	225	1391
54	229	1386
55	233	1383
56	237	1378
57	241	1373
58	245	1367
59	249	1364
60	253	1358
61	257	1353
62	261	1349
63	265	1342
64	269	1337
65	273	1332
66	277	1327
67	281	1322
68	285	1319
69	289	1316
70	293	1311
71	297	1306
72	301	1302
73	305	1297
74	310	1293
75	314	1290
76	318	1285
77	321	1279
78	326	1276
79	330	1271
80	333	1265
81	337	1261
82	342	1256
83	346	1252
84	350	1248
85	354	1244
86	358	1241
87	362	1236
88	366	1231
89	370	1228
90	375	1223
91	378	1217
92	382	1214
93	387	1210
94	391	1207
95	395	1203
96	399	1198
97	403	1194
98	407	1188
99	411	1185
100	415	1180
101	419	1177
102	424	1173
103	428	1169
104	432	1165
105	436	1161
106	440	1158
107	444	1153
108	449	1149
109	453	1145
110	457	1141
111	461	1138
112	466	1134
113	470	1130
114	474	1126
115	478	1122
116	482	1118
117	486	1113
118	490	1109
119	495	1106
120	499	1102
121	503	1097
122	508	1094
123	512	1090
124	516	1086
125	520	1081
126	524	1077
127	528	1074
128	532	1069
129	536	1065
130	540	1060
131	544	1055
132	548	1050
133	552	1047
134	556	1042
135	560	1038
136	565	1035
137	569	1030
138	573	1026
139	577	1022
140	581	1019
141	585	1014
142	589	1010
143	593	1006
144	597	1002
145	601	997
146	606	993
147	610	989
148	613	984
149	617	980
150	621	975
151	625	971
152	629	966
153	633	962
154	637	958
155	642	954
156	646	950
157	650	947
158	654	942
159	659	939
160	663	934
161	666	930
162	670	925
163	674	921
164	678	917
165	682	912
166	686	908
167	690	903
168	694	899
169	698	895
170	702	891
171	706	886
172	710	882
173	714	878
174	718	874
175	722	870
176	726	866
177	730	862
178	735	858
179	739	854
180	743	850
181	747	846
182	751	842
183	755	837
184	759	833
185	763	829
186	767	825
187	772	821
188	775	816
189	780	812
190	784	808
191	787	804
192	791	799
193	795	795
194	800	791
195	804	787
196	808	783
197	812	779
198	816	775
199	820	771
200	824	767
201	828	763
202	832	759
203	837	754
204	841	750
205	844	746
206	848	742
207	852	738
208	856	733
209	860	729
210	864	725
211	868	721
212	872	717
213	876	712
214	880	708
215	885	704
216	889	700
217	893	696
218	896	692
219	901	688
220	904	683
221	909	679
222	913	675
223	917	671
224	920	667
225	925	663
226	929	658
227	933	654
228	937	650
229	941	646
230	945	642
231	948	638
232	952	633
233	956	629
234	960	625
235	964	620
236	968	616
237	972	612
238	976	608
239	980	604
240	984	600
241	988	596
242	992	592
243	996	587
244	1000	583
245	1004	579
246	1008	575
247	1013	571
248	1017	567
249	1021	563
250	1025	559
251	1029	555
252	1034	551
253	1037	547
254	1041	543
255	1045	539
256	1049	534
257	1053	530
258	1057	526
259	1061	522
260	1065	518
261	1069	514
262	1073	510
263	1077	505
264	1081	502
265	1085	497
266	1089	493
267	1093	489
268	1097	485
269	1101	481
270	1105	477
271	1109	472
272	1113	469
273	1117	464
274	1121	460
275	1125	456
276	1128	452
277	1132	447
278	1135	443
279	1139	439
280	1143	435
281	1146	431
282	1150	427
283	1154	422
284	1157	418
285	1161	414
286	1165	410
287	1169	406
288	1173	402
289	1177	397
290	1180	393
291	1184	389
292	1188	385
293	1192	381
294	1195	376
295	1199	372
296	1202	368
297	1207	364
298	1210	360
299	1214	356
300	1218	352
301	1221	347
302	1225	343
303	1229	339
304	1233	335
305	1237	331
306	1241	327
307	1245	323
308	1249	319
309	1253	315
310	1257	311
311	1261	307
312	1266	303
313	1270	299
314	1274	295
315	1278	291
316	1283	287
317	1287	283
318	1291	279
319	1295	275
320	1298	271
321	1303	267
322	1307	263
323	1311	259
324	1315	255
325	1320	251
326	1323	246
327	1327	242
328	1331	238
329	1335	234
330	1338	230
331	1342	226
332	1346	222
333	1350	218
334	1354	214
335	1359	210
336	1363	206
337	1366	202
338	1370	198
339	1374	193
340	1377	189
341	1381	185
342	1385	181
343	1389	177
344	1393	173
345	1397	169
346	1401	165
347	1406	161
348	1410	157
349	1414	153
350	1417	149
351	1422	145
352	1425	141
353	1429	137
354	1433	133
355	1437	129
356	1441	125
357	1446	121
358	1449	117
359	1453	113
360	1457	109
361	1461	104
362	1465	100
363	1469	96
364	1472	92
365	1476	88
366	1480	84
367	1484	80
368	1488	76
369	1493	72
370	1497	68
371	1501	64
372	1505	60
373	1509	56
374	1514	52
375	1518	48
376	1522	44
377	1526	40
378	1529	36
379	1533	32
380	1537	28
381	1541	24
382	1545	20
383	1549	16
384	1553	12
385	1557	8
386	1561	4
387	1566	0
